SKU,Order,Delivery Date,Description
15668519,6606948,2014-08-21,DAILY BREAD_Bread  Sandwich
15668519,6805706,2014-06-26,DAILY BREAD_Bread  Sandwich
15668519,7892347,2014-06-17,DAILY BREAD_Bread  Sandwich
15668519,6512243,2014-09-17,DAILY BREAD_Bread  Sandwich
15668519,6602492,2014-08-20,DAILY BREAD_Bread  Sandwich
15668519,7924777,2014-06-08,DAILY BREAD_Bread  Sandwich
15668519,8021007,2014-05-03,DAILY BREAD_Bread  Sandwich
15668520,6792578,2014-06-22,DAILY BREAD_Bread  Brown
15668520,8034053,2014-04-10,DAILY BREAD_Bread  Brown
15668520,6581078,2014-09-02,DAILY BREAD_Bread  Brown
15668520,6560333,2014-08-26,DAILY BREAD_Bread  Brown
15668520,6672427,2014-08-03,DAILY BREAD_Bread  Brown
15668520,7939316,2014-05-21,DAILY BREAD_Bread  Brown
15668520,6527073,2014-09-05,DAILY BREAD_Bread  Brown
15668520,6477802,2014-09-27,DAILY BREAD_Bread  Brown
15668520,6768443,2014-07-04,DAILY BREAD_Bread  Brown
15668520,7890419,2014-06-17,DAILY BREAD_Bread  Brown
15668520,7888916,2014-06-16,DAILY BREAD_Bread  Brown
15668520,6618855,2014-08-24,DAILY BREAD_Bread  Brown
15668520,8034757,2014-04-12,DAILY BREAD_Bread  Brown
15668520,7912783,2014-06-03,DAILY BREAD_Bread  Brown
15668520,6523245,2014-09-04,DAILY BREAD_Bread  Brown
15668520,7903287,2014-05-31,DAILY BREAD_Bread  Brown
15668520,6739297,2014-07-16,DAILY BREAD_Bread  Brown
15668520,7983642,2014-05-12,DAILY BREAD_Bread  Brown
15668520,6442744,2014-10-05,DAILY BREAD_Bread  Brown
15668520,7952636,2014-05-25,DAILY BREAD_Bread  Brown
15668520,7889516,2014-06-16,DAILY BREAD_Bread  Brown
15668520,6698375,2014-07-22,DAILY BREAD_Bread  Brown
15668520,8016886,2014-05-01,DAILY BREAD_Bread  Brown
15668520,8015341,2014-04-30,DAILY BREAD_Bread  Brown
15668520,8029032,2014-04-08,DAILY BREAD_Bread  Brown
15668520,7919397,2014-06-04,DAILY BREAD_Bread  Brown
15668520,8040732,2014-04-13,DAILY BREAD_Bread  Brown
15668520,7893020,2014-06-17,DAILY BREAD_Bread  Brown
15668520,6659609,2014-07-30,DAILY BREAD_Bread  Brown
15668520,8035546,2014-04-11,DAILY BREAD_Bread  Brown
15668520,8059032,2014-04-22,DAILY BREAD_Bread  Brown
15668520,7917497,2014-06-04,DAILY BREAD_Bread  Brown
15668520,7937533,2014-05-20,DAILY BREAD_Bread  Brown
15668520,6483586,2014-09-28,DAILY BREAD_Bread  Brown
15668520,6464864,2014-09-22,DAILY BREAD_Bread  Brown
15668520,6606102,2014-08-21,DAILY BREAD_Bread  Brown
15668520,7907686,2014-06-02,DAILY BREAD_Bread  Brown
15668520,8037892,2014-04-12,DAILY BREAD_Bread  Brown
15668520,7949302,2014-05-24,DAILY BREAD_Bread  Brown
15668520,8010044,2014-04-28,DAILY BREAD_Bread  Brown
15668520,6575461,2014-08-31,DAILY BREAD_Bread  Brown
15668520,6459268,2014-09-21,DAILY BREAD_Bread  Brown
